,tsne-one,tsne-two,tsne-three,gs_text34
74,-10.175877,-0.30778307,-0.41896042,Certain infectious and Parasitic Diseases
75,-10.160306,-0.33247408,-0.4164782,External Causes of Morbidity and Mortality
76,-10.146658,-0.35664904,-0.41380253,Other Defined Causes of Child Deaths
77,-10.133385,-0.37892517,-0.41072595,External Causes of Morbidity and Mortality
78,-10.116905,-0.40232566,-0.407395,Diseases of the Genitourinary System
79,-10.09923,-0.426046,-0.4037868,Diseases of the circulatory system
80,-10.094476,-0.44822627,-0.3999054,Diseases of the circulatory system
81,-10.074789,-0.47008663,-0.39574224,External Causes of Morbidity and Mortality
82,-10.056872,-0.4939071,-0.39121532,Diseases of the circulatory system
83,-10.044124,-0.51708156,-0.38647053,"Injury, Poisoning and External Causes"
84,-10.030468,-0.5387028,-0.38137144,Diseases of Respiratory System
85,-10.012741,-0.5608663,-0.3758465,"Pregnancy, childbirth and the puerperiu"
86,-9.997035,-0.581995,-0.37032148,Birth asphyxia
87,-9.980129,-0.6045316,-0.3641959,Other Non-communicable Diseases
88,-9.972943,-0.62521505,-0.358316,"Injury, Poisoning and External Causes"
89,-9.953178,-0.6476144,-0.35160428,Certain infectious and Parasitic Diseases
90,-9.932244,-0.66752917,-0.34432063,Diseases of Respiratory System
91,-9.917903,-0.6883417,-0.3371449,Certain infectious and Parasitic Diseases
92,-9.900647,-0.709151,-0.32969484,Certain infectious and Parasitic Diseases
93,-9.885518,-0.728999,-0.3217273,Other Defined Causes of Child Deaths
94,-9.867128,-0.7491565,-0.3134577,Other Non-communicable Diseases
95,-9.851915,-0.76890546,-0.30485708,Diseases of Respiratory System
96,-9.833634,-0.7891256,-0.2959258,Other Cardiovascular Diseases
97,-9.820386,-0.8076138,-0.2876652,External Causes of Morbidity and Mortality
98,-9.801135,-0.82642925,-0.27716807,"Pregnancy, childbirth and the puerperiu"
99,-9.78255,-0.8451568,-0.2679941,Diseases of the Digestive System
100,-9.766523,-0.86253935,-0.25759557,Other Defined Causes of Child Deaths
101,-9.749038,-0.88102275,-0.24729376,Diseases of Respiratory System
102,-9.731276,-0.8987383,-0.23659694,"Pregnancy, childbirth and the puerperiu"
103,-9.712438,-0.9170742,-0.22540827,Certain infectious and Parasitic Diseases
104,-9.691724,-0.9331921,-0.21443202,"Endocrine, Nutritional and Metabolic Diseases"
105,-9.674156,-0.9496281,-0.2025903,External Causes of Morbidity and Mortality
106,-9.657128,-0.96610117,-0.19008131,Other Infectious Diseases
107,-9.6379795,-0.9815205,-0.17766394,Other Cardiovascular Diseases
108,-9.623046,-0.99696165,-0.16524829,"Endocrine, Nutritional and Metabolic Diseases"
109,-9.606179,-1.0126677,-0.15268102,"Pregnancy, childbirth and the puerperiu"
110,-9.584491,-1.0273285,-0.13871552,Certain infectious and Parasitic Diseases
111,-9.567071,-1.0410143,-0.12621374,Diseases of the circulatory system
112,-9.54637,-1.0560013,-0.11215188,Certain infectious and Parasitic Diseases
113,-9.530192,-1.0687847,-0.09772962,"Pregnancy, childbirth and the puerperiu"
114,-9.508841,-1.0821574,-0.08366925,Diseases of the Genitourinary System
115,-9.489029,-1.0944797,-0.067988224,Diseases of the circulatory system
116,-9.470119,-1.106718,-0.05441406,"Endocrine, Nutritional and Metabolic Diseases"
117,-9.450716,-1.1187193,-0.039245665,Certain infectious and Parasitic Diseases
118,-9.433014,-1.1298479,-0.023568176,Congenital malformation
119,-9.41084,-1.1407889,-0.0079704635,Diseases of the circulatory system
120,-9.393546,-1.1512228,0.008067104,Certain infectious and Parasitic Diseases
121,-9.372421,-1.1616974,0.0247518,Diseases of Respiratory System
122,-9.3555,-1.1707201,0.040546987,"Pregnancy, childbirth and the puerperiu"
123,-9.335689,-1.1797304,0.057024043,Certain infectious and Parasitic Diseases
124,-9.319042,-1.1892569,0.07383006,External Causes of Morbidity and Mortality
125,-9.296332,-1.1964366,0.09104029,Diseases of the circulatory system
126,-9.27458,-1.2043467,0.10810024,Diseases of the circulatory system
127,-9.25701,-1.2111751,0.12709333,Certain infectious and Parasitic Diseases
128,-9.236152,-1.2179365,0.1431382,Certain infectious and Parasitic Diseases
129,-9.21783,-1.2241416,0.16044101,Certain infectious and Parasitic Diseases
130,-9.197697,-1.2296256,0.17451954,Diseases of Respiratory System
131,-9.179521,-1.2350782,0.1967638,Certain infectious and Parasitic Diseases
132,-9.160048,-1.2392352,0.21469478,Birth asphyxia
133,-9.140916,-1.2435703,0.23338273,"Injury, Poisoning and External Causes"
134,-9.119683,-1.2471073,0.25219712,"Pregnancy, childbirth and the puerperiu"
135,-9.10247,-1.2502645,0.27167737,Other Infectious Diseases
136,-9.080372,-1.2527136,0.28934118,Diseases of the Genitourinary System
137,-9.062311,-1.2546641,0.3075781,Diseases of Respiratory System
138,-9.0415945,-1.2562438,0.32749945,Other Non-communicable Diseases
139,-9.02369,-1.2572031,0.34514806,"Pregnancy, childbirth and the puerperiu"
140,-9.002323,-1.2575699,0.36555502,Other Cardiovascular Diseases
141,-8.985629,-1.2575834,0.3845715,Diseases of the circulatory system
142,-8.963043,-1.2569664,0.4031794,Neoplasms
143,-8.950355,-1.2558526,0.42339343,Diseases of Respiratory System
144,-8.924888,-1.2541993,0.4435185,Diseases of the Digestive System
145,-8.907779,-1.2520057,0.46240962,"Pregnancy, childbirth and the puerperiu"
146,-8.888778,-1.2493259,0.4806557,Other Cardiovascular Diseases
147,-8.866747,-1.2461215,0.4945663,Diseases of Respiratory System
148,-8.850115,-1.2423548,0.5198207,Diseases of Respiratory System
149,-8.830471,-1.2380775,0.54000163,Other Non-communicable Diseases
150,-8.813706,-1.2332608,0.56015337,Diseases of Respiratory System
151,-8.794951,-1.2279619,0.5772596,Diseases of the Digestive System
152,-8.776822,-1.2221334,0.5983876,Certain infectious and Parasitic Diseases
153,-8.75575,-1.2157791,0.61662364,Other Non-communicable Diseases
154,-8.740562,-1.2088505,0.63513404,Diseases of the Digestive System
155,-8.720875,-1.2015573,0.6537558,External Causes of Morbidity and Mortality
156,-8.704052,-1.1936276,0.67306364,"Injury, Poisoning and External Causes"
157,-8.685936,-1.1850977,0.6930928,"Pregnancy, childbirth and the puerperiu"
158,-8.665936,-1.1763327,0.7113385,Other Defined Causes of Child Deaths
159,-8.651834,-1.1669052,0.7307916,"Pregnancy, childbirth and the puerperiu"
160,-8.627819,-1.1571697,0.74964863,Diseases of Respiratory System
161,-8.609298,-1.146928,0.76753306,"Pregnancy, childbirth and the puerperiu"
162,-8.595596,-1.1360483,0.7865456,"Pregnancy, childbirth and the puerperiu"
163,-8.58514,-1.125351,0.80652636,Diseases of the Digestive System
164,-8.561112,-1.1128237,0.8225216,"Pregnancy, childbirth and the puerperiu"
165,-8.546248,-1.1012226,0.8405082,Other Non-communicable Diseases
166,-8.529022,-1.0883107,0.8585046,Diseases of the circulatory system
167,-8.513066,-1.0747795,0.8758437,Other Infectious Diseases
168,-8.495284,-1.0611289,0.8940566,"Pregnancy, childbirth and the puerperiu"
169,-8.48175,-1.0474496,0.91138196,Diseases of the Genitourinary System
170,-8.463417,-1.0333204,0.92793244,"Injury, Poisoning and External Causes"
171,-8.448142,-1.0177696,0.9455363,Birth asphyxia
172,-8.431492,-1.0024365,0.9610146,"Pregnancy, childbirth and the puerperiu"
173,-8.41981,-0.9864091,0.9790959,"Endocrine, Nutritional and Metabolic Diseases"
174,-8.4033165,-0.9705784,0.99535936,"Pregnancy, childbirth and the puerperiu"
175,-8.386127,-0.95426977,1.01247,Birth asphyxia
176,-8.370985,-0.9368698,1.0260171,External Causes of Morbidity and Mortality
177,-8.361608,-0.9201088,1.0441679,Congenital malformation
178,-8.346653,-0.9016236,1.0607557,Other Cardiovascular Diseases
179,-8.3282385,-0.8842596,1.0738745,Other Non-communicable Diseases
180,-8.315933,-0.8657439,1.0905654,Certain infectious and Parasitic Diseases
181,-8.300446,-0.84712803,1.103836,Diseases of the Digestive System
182,-8.286166,-0.8266353,1.1161089,Diseases of the circulatory system
183,-8.272803,-0.80836415,1.1303772,Diseases of the Genitourinary System
184,-8.264036,-0.7880491,1.1468778,External Causes of Morbidity and Mortality
185,-8.247355,-0.768018,1.1584108,Diseases of Respiratory System
186,-8.235576,-0.74794614,1.1736524,External Causes of Morbidity and Mortality
187,-8.221926,-0.72599673,1.1866244,Other Cardiovascular Diseases
188,-8.203683,-0.70512784,1.199711,Certain infectious and Parasitic Diseases
189,-8.197814,-0.6839894,1.2115648,External Causes of Morbidity and Mortality
190,-8.187361,-0.66145897,1.2238264,Certain infectious and Parasitic Diseases
191,-8.176674,-0.6398952,1.2350652,"Endocrine, Nutritional and Metabolic Diseases"
192,-8.158703,-0.61725885,1.2476277,Neoplasms
193,-8.149661,-0.5943972,1.2586693,Other Infectious Diseases
194,-8.140657,-0.5717562,1.2700355,Certain infectious and Parasitic Diseases
195,-8.129643,-0.5480379,1.2804374,Neoplasms
196,-8.119031,-0.525605,1.2905852,Certain infectious and Parasitic Diseases
197,-8.109353,-0.50154036,1.3011874,Diseases of the Genitourinary System
198,-8.095935,-0.47819075,1.3108386,"Pregnancy, childbirth and the puerperiu"
199,-8.086995,-0.45396817,1.3214138,Congenital malformation
200,-8.075991,-0.429198,1.3302284,Congenital malformation
201,-8.066169,-0.40478557,1.3387774,"Pregnancy, childbirth and the puerperiu"
202,-8.057852,-0.3802832,1.3482298,Diseases of Respiratory System
203,-8.050914,-0.3549609,1.3532249,Diseases of the circulatory system
204,-8.040072,-0.33000422,1.3624048,Diseases of Respiratory System
205,-8.03137,-0.30456385,1.3698778,"Pregnancy, childbirth and the puerperiu"
206,-8.023047,-0.27907303,1.3780286,Diseases of the circulatory system
207,-8.014913,-0.2530276,1.385245,Diseases of Respiratory System
208,-8.003034,-0.22687623,1.3903587,Certain infectious and Parasitic Diseases
209,-7.9986687,-0.20055223,1.3951629,Other Cardiovascular Diseases
210,-7.9926624,-0.1748727,1.4018875,Diseases of Respiratory System
211,-7.983133,-0.14996018,1.408731,"Pregnancy, childbirth and the puerperiu"
212,-7.976174,-0.12159773,1.4129244,"Pregnancy, childbirth and the puerperiu"
213,-7.9661613,-0.096029095,1.4162421,External Causes of Morbidity and Mortality
214,-7.961627,-0.06804677,1.4223617,Other Cardiovascular Diseases
215,-7.955976,-0.041728925,1.4264117,Neoplasms
216,-7.9493723,-0.014369708,1.4274253,"Endocrine, Nutritional and Metabolic Diseases"
217,-7.9314766,0.012142815,1.4304379,"Pregnancy, childbirth and the puerperiu"
218,-7.945677,0.038873445,1.4334687,"Pregnancy, childbirth and the puerperiu"
219,-7.927126,0.066908196,1.4373238,Diseases of the circulatory system
220,-7.924161,0.093677536,1.4406799,Congenital malformation
221,-7.918809,0.121689394,1.4403231,"Pregnancy, childbirth and the puerperiu"
222,-7.901492,0.14842762,1.4455725,Certain infectious and Parasitic Diseases
223,-7.9070106,0.17672105,1.4428741,Other Cardiovascular Diseases
224,-7.897642,0.20330209,1.4451057,Diseases of the circulatory system
225,-7.894907,0.23297636,1.4443651,Diseases of the Genitourinary System
226,-7.889379,0.25896397,1.4435865,Birth asphyxia
227,-7.8813705,0.28629592,1.4447551,Diseases of the circulatory system
228,-7.8789234,0.3147992,1.4422076,Certain infectious and Parasitic Diseases
229,-7.8778343,0.342028,1.4432743,External Causes of Morbidity and Mortality
230,-7.863358,0.3709193,1.4428345,Other Non-communicable Diseases
231,-7.8654375,0.39592496,1.4381934,Certain infectious and Parasitic Diseases
232,-7.86087,0.4264215,1.4356352,"Pregnancy, childbirth and the puerperiu"
233,-7.8554053,0.45478263,1.433905,External Causes of Morbidity and Mortality
234,-7.8494306,0.48096707,1.4306538,"Pregnancy, childbirth and the puerperiu"
235,-7.847741,0.5089909,1.4273977,External Causes of Morbidity and Mortality
236,-7.8444066,0.5370316,1.4242954,Diseases of Respiratory System
237,-7.836629,0.56307626,1.4185863,"Pregnancy, childbirth and the puerperiu"
238,-7.8356104,0.59226996,1.4153948,Diseases of the circulatory system
239,-7.830519,0.6194952,1.4114844,"Pregnancy, childbirth and the puerperiu"
240,-7.827876,0.6475839,1.4062496,"Pregnancy, childbirth and the puerperiu"
241,-7.8202734,0.6737522,1.4010197,Diseases of Respiratory System
242,-7.82059,0.70259166,1.3951478,"Endocrine, Nutritional and Metabolic Diseases"
243,-7.8177476,0.7296602,1.3887827,Other Cardiovascular Diseases
244,-7.8160467,0.75696945,1.3825263,Diseases of Respiratory System
245,-7.8050222,0.78556937,1.3773292,Other Infectious Diseases
246,-7.8028927,0.81106955,1.3679153,Other Cardiovascular Diseases
247,-7.8009257,0.837773,1.3619874,External Causes of Morbidity and Mortality
248,-7.7970996,0.8634403,1.3527199,External Causes of Morbidity and Mortality
249,-7.8009844,0.89422274,1.3444384,Other Cardiovascular Diseases
250,-7.7917905,0.91968733,1.3365016,Diseases of the circulatory system
251,-7.7874355,0.94437885,1.3288106,Diseases of the Digestive System
252,-7.787075,0.9730808,1.3187727,Diseases of the Genitourinary System
253,-7.7806177,1.0013218,1.309455,Diseases of Respiratory System
254,-7.779711,1.0242041,1.2991092,Certain infectious and Parasitic Diseases
255,-7.7779074,1.0513737,1.2885863,Diseases of the Genitourinary System
256,-7.773325,1.0776922,1.2791182,Other Infectious Diseases
257,-7.772151,1.1021072,1.2679119,External Causes of Morbidity and Mortality
258,-7.769095,1.1307573,1.2568629,Certain infectious and Parasitic Diseases
259,-7.7666287,1.1558019,1.2454246,Hemorrhagic fever
260,-7.7634277,1.180901,1.233763,Certain infectious and Parasitic Diseases
261,-7.757019,1.2063704,1.2215954,"Endocrine, Nutritional and Metabolic Diseases"
262,-7.7610936,1.2324542,1.2088023,Other Defined Causes of Child Deaths
263,-7.7558565,1.2571547,1.1968614,Diseases of Respiratory System
264,-7.7558103,1.2819164,1.1832857,"Pregnancy, childbirth and the puerperiu"
265,-7.750013,1.3067254,1.1700432,Neoplasms
266,-7.7498493,1.3319559,1.1563127,"Endocrine, Nutritional and Metabolic Diseases"
267,-7.743459,1.3568435,1.1423068,External Causes of Morbidity and Mortality
268,-7.7407064,1.3800805,1.1273625,Diseases of Respiratory System
269,-7.7407446,1.4067235,1.1131299,External Causes of Morbidity and Mortality
270,-7.735261,1.4277447,1.0981612,Birth asphyxia
271,-7.7324862,1.45176,1.0827701,Certain infectious and Parasitic Diseases
272,-7.7282104,1.4752272,1.0674369,Other Cardiovascular Diseases
273,-7.7271466,1.4993026,1.0515928,Certain infectious and Parasitic Diseases
274,-7.7237263,1.5224215,1.035363,"Pregnancy, childbirth and the puerperiu"
275,-7.719747,1.545326,1.0188167,External Causes of Morbidity and Mortality
276,-7.7169704,1.5672779,1.0020503,Birth asphyxia
277,-7.715774,1.5910897,0.98490584,Diseases of the circulatory system
278,-7.7094054,1.6117913,0.9675554,Diseases of the Digestive System
279,-7.70876,1.6329458,0.949895,Other Non-communicable Diseases
280,-7.704302,1.6563667,0.93203104,Diseases of the circulatory system
281,-7.704671,1.6778256,0.91378534,Certain infectious and Parasitic Diseases
282,-7.6957603,1.6997167,0.89522904,Certain infectious and Parasitic Diseases
283,-7.699339,1.7205869,0.8764614,External Causes of Morbidity and Mortality
284,-7.69415,1.740517,0.8573612,"Pregnancy, childbirth and the puerperiu"
285,-7.689767,1.761207,0.83799833,Certain infectious and Parasitic Diseases
286,-7.6852293,1.7813674,0.8183723,Other Non-communicable Diseases
287,-7.68247,1.8016301,0.79847246,Diseases of the Genitourinary System
288,-7.682828,1.8210332,0.77825195,External Causes of Morbidity and Mortality
289,-7.6723895,1.8404905,0.7578627,Diseases of Respiratory System
290,-7.671997,1.8598906,0.73726773,Other Cardiovascular Diseases
291,-7.666461,1.8789572,0.716201,"Endocrine, Nutritional and Metabolic Diseases"
292,-7.664644,1.8964714,0.6949142,Neoplasms
293,-7.6599627,1.9153559,0.67321134,"Pregnancy, childbirth and the puerperiu"
294,-7.653856,1.9331914,0.6519871,Other Infectious Diseases
295,-7.6533766,1.9505771,0.62984324,Certain infectious and Parasitic Diseases
296,-7.647153,1.9681252,0.60799927,Other Non-communicable Diseases
297,-7.6421027,1.9848231,0.58496004,"Pregnancy, childbirth and the puerperiu"
298,-7.6406407,2.0019345,0.56254745,Diseases of the Digestive System
299,-7.6318026,2.0191188,0.53997046,Diseases of the circulatory system
300,-7.6287894,2.0338774,0.51659405,Birth asphyxia
301,-7.6255317,2.0498111,0.49328715,"Pregnancy, childbirth and the puerperiu"
302,-7.619395,2.0647733,0.46913648,"Pregnancy, childbirth and the puerperiu"
303,-7.614758,2.079698,0.4461496,Certain infectious and Parasitic Diseases
304,-7.6100354,2.0942926,0.42238358,Diseases of the circulatory system
305,-7.6128554,2.1085687,0.39866483,"Pregnancy, childbirth and the puerperiu"
306,-7.6013627,2.12201,0.37310368,Diseases of the circulatory system
307,-7.596373,2.1359863,0.34887946,"Pregnancy, childbirth and the puerperiu"
308,-7.5905333,2.1490283,0.32434598,External Causes of Morbidity and Mortality
309,-7.5856895,2.161295,0.29931957,Diseases of Respiratory System
310,-7.5811453,2.1736324,0.27420768,Other Infectious Diseases
311,-7.5744343,2.185071,0.2494143,Diseases of Respiratory System
312,-7.571243,2.1975286,0.22428644,Diseases of the Genitourinary System
313,-7.566871,2.2081802,0.19795471,External Causes of Morbidity and Mortality
314,-7.5611567,2.2189176,0.17410927,Other Cardiovascular Diseases
315,-7.5559077,2.229876,0.14679004,External Causes of Morbidity and Mortality
316,-7.5474434,2.2397926,0.12008503,Neoplasms
317,-7.545335,2.249056,0.09422267,"Pregnancy, childbirth and the puerperiu"
318,-7.541218,2.2582061,0.06852046,Certain infectious and Parasitic Diseases
319,-7.530653,2.2660687,0.042439137,"Pregnancy, childbirth and the puerperiu"
320,-7.530267,2.2748647,0.015754445,Birth asphyxia
321,-7.5247674,2.2829833,-0.010883816,Other Cardiovascular Diseases
322,-7.519243,2.290402,-0.0372295,"Pregnancy, childbirth and the puerperiu"
323,-7.509454,2.2974825,-0.064404085,Diseases of Respiratory System
324,-7.502942,2.3041284,-0.091349594,Diseases of the circulatory system
325,-7.4993386,2.310474,-0.11805383,"Pregnancy, childbirth and the puerperiu"
326,-7.4935765,2.316592,-0.1453421,Diseases of Respiratory System
327,-7.4869623,2.320834,-0.17186318,External Causes of Morbidity and Mortality
328,-7.4826527,2.3257744,-0.19885854,Other Cardiovascular Diseases
329,-7.4756393,2.3304563,-0.2266429,External Causes of Morbidity and Mortality
330,-7.4655538,2.3350816,-0.25352317,"Endocrine, Nutritional and Metabolic Diseases"
331,-7.460757,2.3378155,-0.28081682,Certain infectious and Parasitic Diseases
332,-7.453411,2.3410683,-0.30864817,Certain infectious and Parasitic Diseases
333,-7.4494734,2.3433065,-0.3361572,Diseases of the circulatory system
334,-7.438865,2.3460019,-0.3630035,External Causes of Morbidity and Mortality
335,-7.436075,2.3473864,-0.3905488,Other Non-communicable Diseases
336,-7.4264183,2.3489623,-0.4181812,Diseases of the circulatory system
337,-7.4210305,2.3493207,-0.4457023,Other Non-communicable Diseases
338,-7.414295,2.3496187,-0.47291017,Neoplasms
339,-7.408262,2.3497024,-0.50079834,Diseases of the Digestive System
340,-7.399521,2.3490818,-0.527203,External Causes of Morbidity and Mortality
341,-7.3921585,2.348338,-0.5567923,Diseases of the circulatory system
342,-7.3860855,2.346573,-0.5824909,Certain infectious and Parasitic Diseases
343,-7.3815484,2.3447807,-0.61045796,Other Infectious Diseases
344,-7.37267,2.3424804,-0.63725495,Certain infectious and Parasitic Diseases
345,-7.3648643,2.3394089,-0.66430813,Birth asphyxia
346,-7.3577466,2.3362484,-0.6921556,Diseases of Respiratory System
347,-7.3440104,2.3326728,-0.71893805,"Pregnancy, childbirth and the puerperiu"
348,-7.3448715,2.3284118,-0.74684656,Other Infectious Diseases
349,-7.333298,2.3239102,-0.7724955,Other Cardiovascular Diseases
350,-7.3305025,2.3188982,-0.80058616,Certain infectious and Parasitic Diseases
351,-7.3201504,2.313282,-0.82597566,"Endocrine, Nutritional and Metabolic Diseases"
352,-7.3127294,2.3073585,-0.85315543,Diseases of Respiratory System
353,-7.306963,2.3009448,-0.88061047,Certain infectious and Parasitic Diseases
354,-7.3034487,2.2941272,-0.907037,Diseases of Respiratory System
355,-7.2919245,2.2868156,-0.93374836,"Pregnancy, childbirth and the puerperiu"
356,-7.2845097,2.279108,-0.9588298,External Causes of Morbidity and Mortality
357,-7.2770805,2.271003,-0.9843513,Certain infectious and Parasitic Diseases
358,-7.2575135,2.2624602,-1.0108038,Diseases of the Digestive System
359,-7.259898,2.2534497,-1.037325,"Pregnancy, childbirth and the puerperiu"
360,-7.2539053,2.244046,-1.0630742,Neoplasms
361,-7.248932,2.2341812,-1.0885105,Diseases of the Digestive System
362,-7.2319922,2.223982,-1.1165088,Diseases of Respiratory System
363,-7.231302,2.2132602,-1.1366351,Diseases of the circulatory system
364,-7.2286415,2.2021594,-1.1648533,Diseases of the circulatory system
365,-7.2161503,2.1906629,-1.1896342,Diseases of Respiratory System
366,-7.208113,2.1787732,-1.2150651,Other Cardiovascular Diseases
367,-7.200743,2.166448,-1.239027,Birth asphyxia
368,-7.19416,2.153677,-1.2635162,Diseases of the Nervous System
369,-7.188231,2.1405895,-1.2876887,Diseases of the Digestive System
370,-7.1787586,2.127076,-1.3111799,Diseases of the circulatory system
371,-7.173359,2.1132767,-1.3343307,Diseases of the Genitourinary System
372,-7.164235,2.0988936,-1.3584102,Neoplasms
373,-7.1609406,2.0842414,-1.3837303,External Causes of Morbidity and Mortality
374,-7.1517763,2.069212,-1.405921,Certain infectious and Parasitic Diseases
375,-7.133323,2.0538726,-1.4289343,Diseases of the circulatory system
376,-7.141204,2.0379827,-1.4500387,"Pregnancy, childbirth and the puerperiu"
377,-7.129724,2.0219648,-1.47379,Birth asphyxia
378,-7.122931,2.005413,-1.495725,Other Non-communicable Diseases
379,-7.114085,1.9888216,-1.5178356,"Endocrine, Nutritional and Metabolic Diseases"
380,-7.109963,1.9715046,-1.5416603,"Pregnancy, childbirth and the puerperiu"
381,-7.1032014,1.9538126,-1.5592996,Neoplasms
382,-7.0934525,1.9362192,-1.5825943,Diseases of the circulatory system
383,-7.087357,1.9178108,-1.6048265,External Causes of Morbidity and Mortality
384,-7.0787745,1.8995411,-1.6230716,"Pregnancy, childbirth and the puerperiu"
385,-7.0726175,1.880485,-1.6442404,"Injury, Poisoning and External Causes"
386,-7.066236,1.8615516,-1.6648622,Certain infectious and Parasitic Diseases
